country;year;sex;age;suicides_no;population;;;;;
Albania;1987;male;15-24 years;21,00;312900;;;;;
Albania;1987;male;35-54 years;16,00;308000;;;;;
Albania;1987;female;15-24 years;14,00;289700;;;;;
Albania;1987;male;75+ years;1,00;21800;;;;;
Albania;1987;male;25-34 years;9,00;274300;;;;;
Albania;1987;female;75+ years;1,00;35600;;;;;
Albania;1987;female;35-54 years;6,00;278800;;;;;
Albania;1987;female;25-34 years;4,00;257200;;;;;
Albania;1987;male;55-74 years;1,00;137500;;;;;
Albania;1987;female;5-14 years;0,00;311000;;;;;
Albania;1987;female;55-74 years;0,00;144600;;;;;
Albania;1987;male;5-14 years;0,00;338200;;;;;
Albania;1988;female;75+ years;2,00;36400;;;;;
Albania;1988;male;15-24 years;17,00;319200;;;;;
Albania;1988;male;75+ years;1,00;22300;;;;;
Albania;1988;male;35-54 years;14,00;314100;;;;;
Albania;1988;male;55-74 years;4,00;140200;;;;;
Albania;1988;female;15-24 years;8,00;295600;;;;;
Albania;1988;female;55-74 years;3,00;147500;;;;;
Albania;1988;female;25-34 years;5,00;262400;;;;;
Albania;1988;male;25-34 years;5,00;279900;;;;;
Albania;1988;female;35-54 years;4,00;284500;;;;;
Albania;1988;female;5-14 years;0,00;317200;;;;;
Albania;1988;male;5-14 years;0,00;345000;;;;;
Albania;1989;male;75+ years;2,00;22500;;;;;
Albania;1989;male;25-34 years;18,00;283600;;;;;
Albania;1989;male;35-54 years;15,00;318400;;;;;
Albania;1989;male;55-74 years;6,00;142100;;;;;
Albania;1989;male;15-24 years;12,00;323500;;;;;
Albania;1989;female;35-54 years;7,00;288600;;;;;
Albania;1989;female;15-24 years;5,00;299900;;;;;
Albania;1989;female;25-34 years;2,00;266300;;;;;
Albania;1989;female;55-74 years;1,00;149600;;;;;
Albania;1989;female;5-14 years;0,00;321900;;;;;
Albania;1989;female;75+ years;0,00;37000;;;;;
Albania;1989;male;5-14 years;0,00;349700;;;;;
Albania;1992;male;35-54 years;12,00;343800;;;;;
Albania;1992;male;15-24 years;9,00;263700;;;;;
Albania;1992;male;55-74 years;5,00;159500;;;;;
Albania;1992;male;25-34 years;7,00;245500;;;;;
Albania;1992;female;15-24 years;7,00;292400;;;;;
Albania;1992;female;25-34 years;4,00;267400;;;;;
Albania;1992;female;35-54 years;2,00;323100;;;;;
Albania;1992;female;55-74 years;1,00;164900;;;;;
Albania;1992;female;5-14 years;0,00;336700;;;;;
Albania;1992;female;75+ years;0,00;38700;;;;;
Albania;1992;male;5-14 years;0,00;362900;;;;;
Albania;1992;male;75+ years;0,00;23900;;;;;
Albania;1993;male;15-24 years;18,00;243300;;;;;
Albania;1993;male;55-74 years;7,00;165000;;;;;
Albania;1993;male;75+ years;1,00;24200;;;;;
Albania;1993;male;25-34 years;9,00;230100;;;;;
Albania;1993;female;15-24 years;10,00;285300;;;;;
Albania;1993;male;35-54 years;10,00;350300;;;;;
Albania;1993;female;25-34 years;7,00;261800;;;;;
Albania;1993;female;35-54 years;7,00;331200;;;;;
Albania;1993;female;55-74 years;2,00;169500;;;;;
Albania;1993;female;5-14 years;1,00;340300;;;;;
Albania;1993;male;5-14 years;1,00;367000;;;;;
Albania;1993;female;75+ years;0,00;39300;;;;;
Albania;1994;male;75+ years;2,00;24600;;;;;
Albania;1994;male;55-74 years;11,00;171400;;;;;
Albania;1994;female;75+ years;2,00;39900;;;;;
Albania;1994;male;25-34 years;6,00;231400;;;;;
Albania;1994;male;35-54 years;9,00;362800;;;;;
Albania;1994;male;15-24 years;6,00;242200;;;;;
Albania;1994;female;15-24 years;6,00;282600;;;;;
Albania;1994;female;25-34 years;4,00;261100;;;;;
Albania;1994;female;35-54 years;2,00;342500;;;;;
Albania;1994;female;55-74 years;1,00;174600;;;;;
Albania;1994;male;5-14 years;1,00;371800;;;;;
Albania;1994;female;5-14 years;0,00;344400;;;;;
Albania;1995;male;25-34 years;13,00;232900;;;;;
Albania;1995;male;55-74 years;9,00;178000;;;;;
Albania;1995;female;75+ years;2,00;40800;;;;;
Albania;1995;female;15-24 years;13,00;283500;;;;;
Albania;1995;male;15-24 years;11,00;241200;;;;;
Albania;1995;male;75+ years;1,00;25100;;;;;
Albania;1995;male;35-54 years;14,00;375900;;;;;
Albania;1995;female;25-34 years;7,00;264000;;;;;
Albania;1995;female;35-54 years;8,00;356400;;;;;
Albania;1995;male;5-14 years;6,00;376500;;;;;
Albania;1995;female;55-74 years;2,00;180400;;;;;
Albania;1995;female;5-14 years;2,00;348700;;;;;
Albania;1996;male;75+ years;2,00;25400;;;;;
Albania;1996;male;15-24 years;17,00;243600;;;;;
Albania;1996;male;25-34 years;14,00;235300;;;;;
Albania;1996;female;15-24 years;16,00;287700;;;;;
Albania;1996;female;75+ years;2,00;41200;;;;;
Albania;1996;female;25-34 years;10,00;267900;;;;;
Albania;1996;male;35-54 years;12,00;379600;;;;;
Albania;1996;female;35-54 years;9,00;362000;;;;;
Albania;1996;male;55-74 years;3,00;179900;;;;;
Albania;1996;female;55-74 years;1,00;183100;;;;;
Albania;1996;male;5-14 years;2,00;380400;;;;;
Albania;1996;female;5-14 years;1,00;354100;;;;;
Albania;1997;male;25-34 years;36,00;236000;;;;;
Albania;1997;male;15-24 years;33,00;244400;;;;;
Albania;1997;male;75+ years;3,00;25400;;;;;
Albania;1997;male;35-54 years;30,00;380800;;;;;
Albania;1997;female;15-24 years;21,00;294000;;;;;
Albania;1997;male;55-74 years;12,00;180300;;;;;
Albania;1997;female;25-34 years;16,00;273900;;;;;
Albania;1997;female;75+ years;2,00;42100;;;;;
Albania;1997;female;35-54 years;7,00;370100;;;;;
Albania;1997;female;5-14 years;6,00;361800;;;;;
Albania;1997;male;5-14 years;4,00;381500;;;;;
Albania;1997;female;55-74 years;0,00;187000;;;;;
Albania;1998;male;75+ years;3,00;25800;;;;;
Albania;1998;male;15-24 years;27,00;248800;;;;;
Albania;1998;female;15-24 years;32,00;295600;;;;;
Albania;1998;male;25-34 years;26,00;240400;;;;;
Albania;1998;male;35-54 years;29,00;388200;;;;;
Albania;1998;male;55-74 years;9,00;183800;;;;;
Albania;1998;female;25-34 years;10,00;275300;;;;;
Albania;1998;female;55-74 years;6,00;188200;;;;;
Albania;1998;female;35-54 years;9,00;372100;;;;;
Albania;1998;male;5-14 years;2,00;388400;;;;;
Albania;1998;female;5-14 years;1,00;363800;;;;;
Albania;1998;female;75+ years;0,00;42300;;;;;
Albania;1999;male;75+ years;3,00;25900;;;;;
Albania;1999;male;15-24 years;24,00;250600;;;;;
Albania;1999;female;75+ years;4,00;42400;;;;;
Albania;1999;male;35-54 years;31,00;391100;;;;;
Albania;1999;male;25-34 years;19,00;242300;;;;;
Albania;1999;male;55-74 years;14,00;185200;;;;;
Albania;1999;female;15-24 years;19,00;296800;;;;;
Albania;1999;female;25-34 years;13,00;276500;;;;;
Albania;1999;female;55-74 years;6,00;188800;;;;;
Albania;1999;female;35-54 years;5,00;373600;;;;;
Albania;1999;female;5-14 years;1,00;365200;;;;;
Albania;1999;male;5-14 years;0,00;391300;;;;;
Albania;2000;male;25-34 years;17,00;232000;;;;;
Albania;2000;male;55-74 years;10,00;177400;;;;;
Albania;2000;female;75+ years;2,00;37800;;;;;
Albania;2000;male;75+ years;1,00;24900;;;;;
Albania;2000;female;15-24 years;6,00;263900;;;;;
Albania;2000;male;15-24 years;5,00;240000;;;;;
Albania;2000;female;35-54 years;5,00;332200;;;;;
Albania;2000;female;25-34 years;3,00;245800;;;;;
Albania;2000;male;35-54 years;4,00;374700;;;;;
Albania;2000;male;5-14 years;1,00;374900;;;;;
Albania;2000;female;5-14 years;0,00;324700;;;;;
Albania;2000;female;55-74 years;0,00;168000;;;;;
Albania;2001;male;25-34 years;22,00;206484;;;;;
Albania;2001;male;35-54 years;34,00;378826;;;;;
Albania;2001;male;55-74 years;11,00;196670;;;;;
Albania;2001;female;75+ years;2,00;47254;;;;;
Albania;2001;male;15-24 years;10,00;256039;;;;;
Albania;2001;female;15-24 years;9,00;271359;;;;;
Albania;2001;female;35-54 years;12,00;370191;;;;;
Albania;2001;male;75+ years;1,00;31044;;;;;
Albania;2001;female;55-74 years;6,00;189799;;;;;
Albania;2001;male;5-14 years;6,00;321556;;;;;
Albania;2001;female;25-34 years;4,00;222771;;;;;
Albania;2001;female;5-14 years;2,00;307356;;;;;
Albania;2002;male;75+ years;4,00;31007;;;;;
Albania;2002;male;25-34 years;23,00;206286;;;;;
Albania;2002;male;35-54 years;35,00;382139;;;;;
Albania;2002;male;55-74 years;13,00;198130;;;;;
Albania;2002;male;15-24 years;15,00;263067;;;;;
Albania;2002;female;15-24 years;14,00;275970;;;;;
Albania;2002;female;35-54 years;15,00;375113;;;;;
Albania;2002;female;25-34 years;7,00;223685;;;;;
Albania;2002;female;75+ years;1,00;47407;;;;;
Albania;2002;female;55-74 years;4,00;191712;;;;;
Albania;2002;female;5-14 years;1,00;304850;;;;;
Albania;2002;male;5-14 years;1,00;319473;;;;;
Albania;2003;female;75+ years;6,00;49088;;;;;
Albania;2003;male;55-74 years;16,00;201520;;;;;
Albania;2003;male;35-54 years;28,00;386196;;;;;
Albania;2003;male;15-24 years;15,00;273235;;;;;
Albania;2003;female;15-24 years;14,00;283709;;;;;
Albania;2003;female;55-74 years;9,00;195699;;;;;
Albania;2003;male;25-34 years;9,00;205433;;;;;
Albania;2003;female;25-34 years;9,00;222941;;;;;
Albania;2003;female;35-54 years;13,00;381760;;;;;
Albania;2003;male;75+ years;1,00;32667;;;;;
Albania;2003;male;5-14 years;4,00;313204;;;;;
Albania;2003;female;5-14 years;0,00;298477;;;;;
Albania;2004;male;75+ years;4,00;35526;;;;;
Albania;2004;male;35-54 years;39,00;391767;;;;;
Albania;2004;male;25-34 years;16,00;203938;;;;;
Albania;2004;female;15-24 years;20,00;292268;;;;;
Albania;2004;male;15-24 years;19,00;286768;;;;;
Albania;2004;female;75+ years;3,00;50970;;;;;
Albania;2004;female;25-34 years;11,00;222389;;;;;
Albania;2004;male;55-74 years;10,00;207202;;;;;
Albania;2004;female;35-54 years;17,00;391436;;;;;
Albania;2004;female;55-74 years;3,00;203841;;;;;
Albania;2004;female;5-14 years;3,00;286705;;;;;
Albania;2004;male;5-14 years;1,00;302181;;;;;
Albania;2005;female;15-24 years;0,00;281922;;;;;
Albania;2005;female;25-34 years;0,00;190745;;;;;
Albania;2005;female;35-54 years;0,00;386513;;;;;
Albania;2005;female;5-14 years;0,00;276559;;;;;
Albania;2005;female;55-74 years;0,00;210998;;;;;
Albania;2005;female;75+ years;0,00;53191;;;;;
Albania;2005;male;15-24 years;0,00;281675;;;;;
Albania;2005;male;25-34 years;0,00;177519;;;;;
Albania;2005;male;35-54 years;0,00;380242;;;;;
Albania;2005;male;5-14 years;0,00;291367;;;;;
Albania;2005;male;55-74 years;0,00;214118;;;;;
Albania;2005;male;75+ years;0,00;38471;;;;;
Albania;2006;female;15-24 years;0,00;283138;;;;;
Albania;2006;female;25-34 years;0,00;186391;;;;;
Albania;2006;female;35-54 years;0,00;388746;;;;;
Albania;2006;female;5-14 years;0,00;267316;;;;;
Albania;2006;female;55-74 years;0,00;215907;;;;;
