country;year;sex;age;;;
Albania;1987;male;15-24 years; gdp_for_year ($) ;gdp_per_capita ($);generation
Albania;1987;male;35-54 years;2,156,624,900;796;Generation X
Albania;1987;female;15-24 years;2,156,624,900;796;Silent
Albania;1987;male;75+ years;2,156,624,900;796;Generation X
Albania;1987;male;25-34 years;2,156,624,900;796;G.I. Generation
Albania;1987;female;75+ years;2,156,624,900;796;Boomers
Albania;1987;female;35-54 years;2,156,624,900;796;G.I. Generation
Albania;1987;female;25-34 years;2,156,624,900;796;Silent
Albania;1987;male;55-74 years;2,156,624,900;796;Boomers
Albania;1987;female;5-14 years;2,156,624,900;796;G.I. Generation
Albania;1987;female;55-74 years;2,156,624,900;796;Generation X
Albania;1987;male;5-14 years;2,156,624,900;796;G.I. Generation
Albania;1988;female;75+ years;2,156,624,900;796;Generation X
Albania;1988;male;15-24 years;2,126,000,000;769;G.I. Generation
Albania;1988;male;75+ years;2,126,000,000;769;Generation X
Albania;1988;male;35-54 years;2,126,000,000;769;G.I. Generation
Albania;1988;male;55-74 years;2,126,000,000;769;Silent
Albania;1988;female;15-24 years;2,126,000,000;769;G.I. Generation
Albania;1988;female;55-74 years;2,126,000,000;769;Generation X
Albania;1988;female;25-34 years;2,126,000,000;769;G.I. Generation
Albania;1988;male;25-34 years;2,126,000,000;769;Boomers
Albania;1988;female;35-54 years;2,126,000,000;769;Boomers
Albania;1988;female;5-14 years;2,126,000,000;769;Silent
Albania;1988;male;5-14 years;2,126,000,000;769;Generation X
Albania;1989;male;75+ years;2,126,000,000;769;Generation X
Albania;1989;male;25-34 years;2,335,124,988;833;G.I. Generation
Albania;1989;male;35-54 years;2,335,124,988;833;Boomers
Albania;1989;male;55-74 years;2,335,124,988;833;Silent
Albania;1989;male;15-24 years;2,335,124,988;833;G.I. Generation
Albania;1989;female;35-54 years;2,335,124,988;833;Generation X
Albania;1989;female;15-24 years;2,335,124,988;833;Silent
Albania;1989;female;25-34 years;2,335,124,988;833;Generation X
Albania;1989;female;55-74 years;2,335,124,988;833;Boomers
Albania;1989;female;5-14 years;2,335,124,988;833;G.I. Generation
Albania;1989;female;75+ years;2,335,124,988;833;Generation X
Albania;1989;male;5-14 years;2,335,124,988;833;G.I. Generation
Albania;1992;male;35-54 years;2,335,124,988;833;Generation X
Albania;1992;male;15-24 years;709,452,584;251;Boomers
Albania;1992;male;55-74 years;709,452,584;251;Generation X
Albania;1992;male;25-34 years;709,452,584;251;Silent
Albania;1992;female;15-24 years;709,452,584;251;Boomers
Albania;1992;female;25-34 years;709,452,584;251;Generation X
Albania;1992;female;35-54 years;709,452,584;251;Boomers
Albania;1992;female;55-74 years;709,452,584;251;Boomers
Albania;1992;female;5-14 years;709,452,584;251;Silent
Albania;1992;female;75+ years;709,452,584;251;Millenials
Albania;1992;male;5-14 years;709,452,584;251;G.I. Generation
Albania;1992;male;75+ years;709,452,584;251;Millenials
Albania;1993;male;15-24 years;709,452,584;251;G.I. Generation
Albania;1993;male;55-74 years;1,228,071,038;437;Generation X
Albania;1993;male;75+ years;1,228,071,038;437;Silent
Albania;1993;male;25-34 years;1,228,071,038;437;G.I. Generation
Albania;1993;female;15-24 years;1,228,071,038;437;Boomers
Albania;1993;male;35-54 years;1,228,071,038;437;Generation X
Albania;1993;female;25-34 years;1,228,071,038;437;Boomers
Albania;1993;female;35-54 years;1,228,071,038;437;Boomers
Albania;1993;female;55-74 years;1,228,071,038;437;Boomers
Albania;1993;female;5-14 years;1,228,071,038;437;Silent
Albania;1993;male;5-14 years;1,228,071,038;437;Millenials
Albania;1993;female;75+ years;1,228,071,038;437;Millenials
Albania;1994;male;75+ years;1,228,071,038;437;G.I. Generation
Albania;1994;male;55-74 years;1,985,673,798;697;G.I. Generation
Albania;1994;female;75+ years;1,985,673,798;697;Silent
Albania;1994;male;25-34 years;1,985,673,798;697;G.I. Generation
Albania;1994;male;35-54 years;1,985,673,798;697;Boomers
Albania;1994;male;15-24 years;1,985,673,798;697;Boomers
Albania;1994;female;15-24 years;1,985,673,798;697;Generation X
Albania;1994;female;25-34 years;1,985,673,798;697;Generation X
Albania;1994;female;35-54 years;1,985,673,798;697;Boomers
Albania;1994;female;55-74 years;1,985,673,798;697;Boomers
Albania;1994;male;5-14 years;1,985,673,798;697;Silent
Albania;1994;female;5-14 years;1,985,673,798;697;Millenials
Albania;1995;male;25-34 years;1,985,673,798;697;Millenials
Albania;1995;male;55-74 years;2,424,499,009;835;Generation X
Albania;1995;female;75+ years;2,424,499,009;835;Silent
Albania;1995;female;15-24 years;2,424,499,009;835;G.I. Generation
Albania;1995;male;15-24 years;2,424,499,009;835;Generation X
Albania;1995;male;75+ years;2,424,499,009;835;Generation X
Albania;1995;male;35-54 years;2,424,499,009;835;G.I. Generation
Albania;1995;female;25-34 years;2,424,499,009;835;Boomers
Albania;1995;female;35-54 years;2,424,499,009;835;Generation X
Albania;1995;male;5-14 years;2,424,499,009;835;Boomers
Albania;1995;female;55-74 years;2,424,499,009;835;Millenials
Albania;1995;female;5-14 years;2,424,499,009;835;Silent
Albania;1996;male;75+ years;2,424,499,009;835;Millenials
Albania;1996;male;15-24 years;3,314,898,292;1127;G.I. Generation
Albania;1996;male;25-34 years;3,314,898,292;1127;Generation X
Albania;1996;female;15-24 years;3,314,898,292;1127;Generation X
Albania;1996;female;75+ years;3,314,898,292;1127;Generation X
Albania;1996;female;25-34 years;3,314,898,292;1127;G.I. Generation
Albania;1996;male;35-54 years;3,314,898,292;1127;Generation X
Albania;1996;female;35-54 years;3,314,898,292;1127;Boomers
Albania;1996;male;55-74 years;3,314,898,292;1127;Boomers
Albania;1996;female;55-74 years;3,314,898,292;1127;Silent
Albania;1996;male;5-14 years;3,314,898,292;1127;Silent
Albania;1996;female;5-14 years;3,314,898,292;1127;Millenials
Albania;1997;male;25-34 years;3,314,898,292;1127;Millenials
Albania;1997;male;15-24 years;2,359,903,108;793;Generation X
Albania;1997;male;75+ years;2,359,903,108;793;Generation X
Albania;1997;male;35-54 years;2,359,903,108;793;G.I. Generation
Albania;1997;female;15-24 years;2,359,903,108;793;Boomers
Albania;1997;male;55-74 years;2,359,903,108;793;Generation X
Albania;1997;female;25-34 years;2,359,903,108;793;Silent
Albania;1997;female;75+ years;2,359,903,108;793;Generation X
Albania;1997;female;35-54 years;2,359,903,108;793;G.I. Generation
Albania;1997;female;5-14 years;2,359,903,108;793;Boomers
Albania;1997;male;5-14 years;2,359,903,108;793;Millenials
Albania;1997;female;55-74 years;2,359,903,108;793;Millenials
